timestamp,open,high,low,close,volume,tradeCount,vwap
2020-10-29T04:00:00Z,9.85,9.87,9.82,9.82,5507103,3642,9.8466
2020-10-30T04:00:00Z,9.81,9.83,9.8,9.8,215858,813,9.81459
2020-11-02T05:00:00Z,9.8,9.88,9.8,9.85,126361,984,9.83514
2020-11-03T05:00:00Z,9.87,9.9,9.85,9.865,110923,427,9.87019
2020-11-04T05:00:00Z,9.85,9.915,9.85,9.9,504796,238,9.89986
2020-11-05T05:00:00Z,9.9,9.9124,9.885,9.9,153565,200,9.8997
2020-11-06T05:00:00Z,9.9,9.91,9.89,9.89,128142,396,9.89809
2020-11-09T05:00:00Z,9.9,9.94,9.89,9.905,102821,115,9.90147
2020-11-10T05:00:00Z,9.9,9.95,9.9,9.93,123393,259,9.9199
2020-11-11T05:00:00Z,9.9,9.93,9.9,9.92,83013,75,9.92043
2020-11-12T05:00:00Z,9.91,9.93,9.91,9.93,9642,28,9.91298
2020-11-13T05:00:00Z,9.93,9.95,9.93,9.9469,44425,52,9.94298
2020-11-16T05:00:00Z,9.945,9.947,9.9,9.9,113815,222,9.93428
2020-11-17T05:00:00Z,9.94,9.945,9.94,9.94,50298,50,9.94001
2020-11-18T05:00:00Z,9.9432,10,9.93,10,357408,228,9.96426
2020-11-19T05:00:00Z,10,10,10,10,0,0,0
2020-11-20T05:00:00Z,9.9746,9.98,9.9501,9.9501,3362,30,9.96682
2020-11-23T05:00:00Z,9.9593,10,9.938,9.99,15440,172,9.97008
2020-11-24T05:00:00Z,9.99,10,9.94,9.94,11253,78,9.98858
2020-11-25T05:00:00Z,9.99,9.99,9.9736,9.99,14260,62,9.9891
2020-11-27T05:00:00Z,10,10,9.99,10,59456,47,9.99988
2020-11-30T05:00:00Z,10,10,9.945,10,11898,80,9.98111
2020-12-01T05:00:00Z,10,10,9.95,9.99,13361,65,9.97425
2020-12-02T05:00:00Z,9.9568,10,9.9417,10,126094,178,9.99728
2020-12-03T05:00:00Z,10,10,9.99,9.99,7845,28,9.99939
2020-12-04T05:00:00Z,9.99,10.01,9.99,10,19629,56,9.99958
2020-12-07T05:00:00Z,10,10.05,10,10.02,14184,62,10.0174
2020-12-08T05:00:00Z,10.05,10.11,10.0133,10.11,93926,196,10.0717
2020-12-09T05:00:00Z,10.15,10.4,10.14,10.27,64051,141,10.2365
2020-12-10T05:00:00Z,10.39,10.4,10.3265,10.4,59830,885,10.3951
2020-12-11T05:00:00Z,10.4,10.49,10.39,10.4,36164,174,10.4016
2020-12-14T05:00:00Z,10.36,10.4,10.205,10.28,46379,150,10.2764
2020-12-15T05:00:00Z,10.39,10.4,10.3,10.39,32612,89,10.3844
2020-12-16T05:00:00Z,10.3,10.5,10.25,10.5,41169,102,10.3767
2020-12-17T05:00:00Z,10.4,10.48,10.26,10.46,2991,20,10.3694
2020-12-18T05:00:00Z,10.49,10.49,10.26,10.27,27692,138,10.3464
2020-12-21T05:00:00Z,10.3989,10.47,10.25,10.32,10035,83,10.3067
2020-12-22T05:00:00Z,10.3,10.4,10.3,10.4,10119,123,10.3749
2020-12-23T05:00:00Z,10.43,10.45,10.315,10.45,7910,38,10.3911
2020-12-24T05:00:00Z,10.31,10.45,10.31,10.45,25967,119,10.439
2020-12-28T05:00:00Z,10.5,10.5,10.47,10.47,16706,146,10.4979
2020-12-29T05:00:00Z,10.5,10.7,10.31,10.55,42170,198,10.5148
2020-12-30T05:00:00Z,10.55,10.6,10.55,10.55,4905,26,10.5818
2020-12-31T05:00:00Z,10.69,10.73,10.45,10.67,16529,30,10.496
