timestamp,open,high,low,close,volume,tradeCount,vwap
2025-04-21T04:00:00Z,4.4,4.45,3.92,3.99,28547,441,3.99267
2025-04-22T04:00:00Z,4.43,4.7,3.9,4.3,264846,637,4.19942
2025-04-23T04:00:00Z,4.11,5.03,4.11,4.69,124175,687,4.80478
2025-04-24T04:00:00Z,4.6,5.19,4.6,4.94,205551,1671,5.01342
2025-04-25T04:00:00Z,5.08,5.39,4.95,5.03,79047,647,5.1026
2025-04-28T04:00:00Z,5.03,5.37,5.0144,5.11,136474,1040,5.143
2025-04-29T04:00:00Z,5.1,5.25,5.03,5.2,100438,1418,5.15209
2025-04-30T04:00:00Z,5.05,5.43,5,5.25,106846,2103,5.1781
2025-05-01T04:00:00Z,5.26,5.5,5.15,5.26,53148,732,5.34367
2025-05-02T04:00:00Z,5.24,5.41,5.16,5.22,36749,971,5.24045
2025-05-05T04:00:00Z,4.99,5.25,4.99,5.11,20721,252,5.15708
2025-05-06T04:00:00Z,4.96,5.19,4.96,5.071,22339,198,5.12815
2025-05-07T04:00:00Z,5.19,7.25,5.18,6.75,302869,2816,6.54015
2025-05-08T04:00:00Z,7.28,7.49,6.62,7.49,209535,946,7.11193
2025-05-09T04:00:00Z,7.45,8.29,7.27,8.17,83425,489,7.79379
2025-05-12T04:00:00Z,8.92,8.92,7.81,8.01,39698,415,8.15904
2025-05-13T04:00:00Z,8.14,8.2024,8,8.09,19971,178,8.08863
2025-05-14T04:00:00Z,8.04,8.04,7.62,7.67,12633,250,7.72964
2025-05-15T04:00:00Z,7.54,7.94,7.54,7.8,8360,123,7.81042
2025-05-16T04:00:00Z,7.96,7.96,7.64,7.67,2649,90,7.704
2025-05-19T04:00:00Z,7.03,7.605,7.03,7.565,23803,161,7.4867
2025-05-20T04:00:00Z,7.41,7.63,7.41,7.42,5824,113,7.50336
2025-05-21T04:00:00Z,7.28,7.37,6.8,6.85,42321,388,7.01291
2025-05-22T04:00:00Z,6.77,6.98,6.65,6.98,9078,119,6.83756
2025-05-23T04:00:00Z,6.52,6.9,6.51,6.8,7282,128,6.7635
2025-05-27T04:00:00Z,7,7.47,6.86,6.87,53600,702,7.2148
2025-05-28T04:00:00Z,7.2,7.2,6.61,6.62,79561,530,6.93838
2025-05-29T04:00:00Z,6.71,6.8,6.68,6.69,49056,421,6.73376
2025-05-30T04:00:00Z,6.64,7.2,6.62,7.08,77430,704,6.97834
2025-06-02T04:00:00Z,7.26,7.26,6.53,6.93,15592,219,6.75537
2025-06-03T04:00:00Z,6.91,7.2,6.79,7.14,41802,510,7.06226
2025-06-04T04:00:00Z,6.53,7.8,6.53,7.64,82403,671,7.58556
2025-06-05T04:00:00Z,7.94,8.1,7.64,7.7,44111,303,7.97658
2025-06-06T04:00:00Z,7.73,8,7.73,7.8,23759,260,7.83351
2025-06-09T04:00:00Z,7.9,8.3863,7.47,7.81,115900,1049,7.94992
2025-06-10T04:00:00Z,7.77,8.26,7.77,8.17,22064,173,8.12605
2025-06-11T04:00:00Z,8.31,8.45,8,8.22,31386,255,8.36077
2025-06-12T04:00:00Z,8.07,9.4,8.07,9.25,164964,785,8.6359
2025-06-13T04:00:00Z,8.95,9.15,8.7,8.7,15168,172,8.93552
2025-06-16T04:00:00Z,8.74,9.3,8.74,9.14,69948,429,9.14752
2025-06-17T04:00:00Z,9,9.17,8.77,8.83,26479,389,9.05351
2025-06-18T04:00:00Z,8.74,8.9,7.81,8.11,26331,234,8.39754
2025-06-20T04:00:00Z,8.25,8.31,7.98,8.105,2997,62,8.20685
2025-06-23T04:00:00Z,7.8174,7.8174,7.56,7.56,2142,63,7.62963
2025-06-24T04:00:00Z,7.51,7.99,7.51,7.91,55607,578,7.8634
2025-06-25T04:00:00Z,8.22,8.22,7.65,7.77,20841,145,7.83217
2025-06-26T04:00:00Z,7.86,8.11,7.85,8,29500,287,7.99744
2025-06-27T04:00:00Z,7.99,8.1488,7.72,7.89,51478,411,7.90965
2025-06-30T04:00:00Z,8.05,8.2,8.02,8.02,29511,287,8.09608
2025-07-01T04:00:00Z,8.24,8.5,8.18,8.48,39137,357,8.39399
2025-07-02T04:00:00Z,8.16,8.42,8.16,8.42,6176,111,8.38253
2025-07-03T04:00:00Z,8.78,9.35,8.7344,9.16,50241,495,9.04004
2025-07-07T04:00:00Z,8.5,9.77,8.5,9.25,50199,297,9.59093
2025-07-08T04:00:00Z,8.96,9.13,8.81,8.81,37355,183,8.99087
2025-07-09T04:00:00Z,8.81,8.9,8.66,8.88,9136,70,8.81432
2025-07-10T04:00:00Z,9.1,9.1,8.5,8.55,22267,195,8.60686
2025-07-11T04:00:00Z,7.95,8.1402,7.43,7.55,43225,361,7.74911
2025-07-14T04:00:00Z,8,8.47,8,8.38,26368,245,8.38622
2025-07-15T04:00:00Z,8.6224,9,8.47,8.47,29323,210,8.81006
2025-07-16T04:00:00Z,8.5,9.12,8.5,9.04,16903,94,8.79239
2025-07-17T04:00:00Z,7.63,9.39,7.63,9.39,9646,120,8.93324
2025-07-18T04:00:00Z,9.4,9.4,8.84,9.13,8355,87,9.11788
2025-07-21T04:00:00Z,9.24,9.5,9.24,9.24,12925,157,9.33872
2025-07-22T04:00:00Z,9.34,9.68,9.13,9.39,7516,95,9.47695
2025-07-23T04:00:00Z,9.7,10.29,9.5401,9.61,41549,231,9.81194
2025-07-24T04:00:00Z,9.81,9.82,9.58,9.73,2619,90,9.77484
2025-07-25T04:00:00Z,9.8675,10.05,9.69,9.98,2114,60,9.87622
2025-07-28T04:00:00Z,9.81,9.95,9.4,9.55,37082,435,9.63208
2025-07-29T04:00:00Z,9.09,9.745,9.09,9.5,19518,119,9.58025
2025-07-30T04:00:00Z,9.34,9.35,8.53,8.53,1259,34,9.14518
2025-07-31T04:00:00Z,9.0616,9.0616,8.86,8.87,3226,118,8.9068
2025-08-01T04:00:00Z,8.87,8.87,7.69,8.04,30972,205,8.02993
2025-08-04T04:00:00Z,8.03,8.29,7.68,7.68,6913,52,7.93936
2025-08-05T04:00:00Z,7.86,7.9161,7.25,7.28,27331,110,7.81829
2025-08-06T04:00:00Z,7.64,7.705,7.61,7.62,5649,72,7.63641
2025-08-07T04:00:00Z,7.63,7.7,6.52,6.99,37531,207,7.11339
2025-08-08T04:00:00Z,7.74,11.5,7.74,9.95,491000,3118,10.6509
2025-08-11T04:00:00Z,10.02,10.64,9.92,10.14,28320,341,10.4273
2025-08-12T04:00:00Z,10.26,11.78,10.26,11.2,181157,863,11.0167
2025-08-13T04:00:00Z,11.5,12.4017,11.5,12.05,48690,371,12.0463
2025-08-14T04:00:00Z,11.36,12,11.22,11.53,10459,206,11.4545
2025-08-15T04:00:00Z,10.85,11.31,10.85,11.05,13354,254,11.1002
2025-08-18T04:00:00Z,10.85,10.96,10.61,10.67,3211,62,10.8054
2025-08-19T04:00:00Z,10.56,11.2456,10.56,10.95,21499,230,10.9756
2025-08-20T04:00:00Z,10.74,10.8699,10.74,10.79,5307,55,10.8207
2025-08-21T04:00:00Z,10.58,11.96,10.5,11.02,91532,193,10.6472
2025-08-22T04:00:00Z,10.5201,11.74,10.5201,11.46,63911,3542,11.3985
2025-08-25T04:00:00Z,11.32,11.35,10.74,10.74,16969,318,11.0556
2025-08-26T04:00:00Z,10.72,10.72,10.22,10.38,13105,127,10.462
2025-08-27T04:00:00Z,10.09,10.25,9.985,10.07,51681,2083,10.1148
2025-08-28T04:00:00Z,10.07,10.07,9.47,9.47,12033,264,9.63428
2025-08-29T04:00:00Z,9.48,9.5,9.1,9.48,10028,311,9.32477
2025-09-02T04:00:00Z,9.32,9.32,8.07,8.66,28631,260,8.34767
2025-09-03T04:00:00Z,8.7,8.81,8.4,8.81,3192,68,8.69802
2025-09-04T04:00:00Z,8.61,8.63,8.61,8.63,1238,32,8.61625
2025-09-05T04:00:00Z,8.6324,8.6324,8.43,8.58,1915,43,8.57673
2025-09-08T04:00:00Z,8.78,9.1526,8.78,9.13,3999,78,8.96649
2025-09-09T04:00:00Z,9.53,9.54,8.56,8.58,4764,82,9.07145
2025-09-10T04:00:00Z,8.93,9.0999,8.26,8.72,2479,43,8.82313
2025-09-11T04:00:00Z,8.52,9.19,8.52,9.19,8813,78,8.92202
2025-09-12T04:00:00Z,9.13,9.18,8.56,8.56,107579,617,8.98791
2025-09-15T04:00:00Z,8.05,8.13,7.6,7.65,27365,508,7.9223
2025-09-16T04:00:00Z,7.5,7.69,7.25,7.37,34882,693,7.43945
2025-09-17T04:00:00Z,7.64,7.85,7.45,7.47,13248,216,7.69046
2025-09-18T04:00:00Z,7.55,7.9,7.49,7.64,7863,188,7.73233
2025-09-19T04:00:00Z,7.86,8.15,7.86,7.86,3347,79,7.9813
2025-09-22T04:00:00Z,7.65,7.98,7.47,7.61,14773,117,7.77047
2025-09-23T04:00:00Z,7.76,7.87,7.76,7.79,1445,46,7.80569
2025-09-24T04:00:00Z,8.0138,8.24,7.97,8.24,29658,7383,8.06551
2025-09-25T04:00:00Z,7.64,7.64,7.44,7.59,1745,139,7.59
2025-09-26T04:00:00Z,7.45,7.57,7.3,7.57,8119,145,7.44577
2025-09-29T04:00:00Z,7.655,7.66,7.63,7.66,3081,53,7.65857
2025-09-30T04:00:00Z,7.58,7.612,6.64,7.39,59985,1669,6.97782
2025-10-01T04:00:00Z,7.13,7.88,6.57,6.6,230846,34638,7.0893
2025-10-02T04:00:00Z,6.58,6.81,6.15,6.55,5942,135,6.45782
2025-10-03T04:00:00Z,6.56,6.74,6.21,6.21,21893,439,6.57325
2025-10-06T04:00:00Z,6.3,6.58,6.24,6.5,14892,146,6.50378
2025-10-07T04:00:00Z,6.22,6.29,5.67,5.88,35301,257,5.75421
2025-10-08T04:00:00Z,5.89,6.13,5.89,6.09,25533,202,6.0489
2025-10-09T04:00:00Z,5.81,5.81,5.53,5.81,3890,39,5.64577
2025-10-10T04:00:00Z,5.63,8.24,5.0101,5.6,132995,10987,5.55718
2025-10-13T04:00:00Z,5.58,5.61,4.98,5.33,18476,189,5.26736
2025-10-14T04:00:00Z,5.08,5.55,5.01,5.5186,9173,254,5.32401
